cell_id,study,cathode,anode,temperature,min_soc,max_soc,charge_crate,discharge_crate,capacity_ah,form_factor
SNL_18650_NMC_25C_0-100_0.5/0.5C_a,snl,NMC,graphite,25,0,100,0.5,0.5,3,18650
SNL_18650_NMC_25C_0-100_0.5/0.5C_b,snl,NMC,graphite,25,0,100,0.5,0.5,3,18650
SNL_18650_NMC_25C_0-100_0.5/1C_a,snl,NMC,graphite,25,0,100,0.5,1,3,18650
SNL_18650_NMC_25C_0-100_0.5/1C_b,snl,NMC,graphite,25,0,100,0.5,1,3,18650
SNL_18650_NMC_25C_0-100_0.5/1C_c,snl,NMC,graphite,25,0,100,0.5,1,3,18650
SNL_18650_NMC_25C_0-100_0.5/1C_d,snl,NMC,graphite,25,0,100,0.5,1,3,18650
SNL_18650_NMC_25C_0-100_0.5/2C_a,snl,NMC,graphite,25,0,100,0.5,2,3,18650
SNL_18650_NMC_25C_0-100_0.5/2C_b,snl,NMC,graphite,25,0,100,0.5,2,3,18650
SNL_18650_NMC_25C_0-100_0.5/3C_a,snl,NMC,graphite,25,0,100,0.5,3,3,18650
SNL_18650_NMC_25C_0-100_0.5/3C_b,snl,NMC,graphite,25,0,100,0.5,3,3,18650
SNL_18650_NMC_25C_0-100_0.5/3C_c,snl,NMC,graphite,25,0,100,0.5,3,3,18650
SNL_18650_NMC_25C_0-100_0.5/3C_d,snl,NMC,graphite,25,0,100,0.5,3,3,18650
SNL_18650_NMC_25C_20-80_0.5/0.5C_a,snl,NMC,graphite,25,20,80,0.5,0.5,3,18650
SNL_18650_NMC_25C_20-80_0.5/0.5C_b,snl,NMC,graphite,25,20,80,0.5,0.5,3,18650
SNL_18650_NMC_25C_20-80_0.5/0.5C_c,snl,NMC,graphite,25,20,80,0.5,0.5,3,18650
SNL_18650_NMC_25C_20-80_0.5/0.5C_d,snl,NMC,graphite,25,20,80,0.5,0.5,3,18650
SNL_18650_NMC_25C_20-80_0.5/3C_a,snl,NMC,graphite,25,20,80,0.5,3,3,18650
SNL_18650_NMC_25C_20-80_0.5/3C_b,snl,NMC,graphite,25,20,80,0.5,3,3,18650
SNL_18650_NMC_25C_40-60_0.5/0.5C_a,snl,NMC,graphite,25,40,60,0.5,0.5,3,18650
SNL_18650_NMC_25C_40-60_0.5/0.5C_b,snl,NMC,graphite,25,40,60,0.5,0.5,3,18650
SNL_18650_NMC_25C_40-60_0.5/3C_a,snl,NMC,graphite,25,40,60,0.5,3,3,18650
SNL_18650_NMC_25C_40-60_0.5/3C_b,snl,NMC,graphite,25,40,60,0.5,3,3,18650